,id,uuid,creationDate,lastChangeDate,birthYear,lastNegotiation,gender,educationId,driverLicenseTypes,hasVehicle,compensation,compensationCurrencyCode,roadTimeType,businessTripReadiness,workSchedules,employments,workExperience,workExperienceMonthCount,relocation,metroStationName,resumeSpecializations,relocationAreas,languageLevels
682,5233,3b9e10a6-7483-42d8-9f3e-b0b89290c8a2,2014-07-28,2019-03-07,1969.0,2019-04-18,1,1,['B'],0.0,,,1,2,"[2, 0, 1]","[0, 1, 2]",3,172,0,Moskovskaja,"[47, 429]",{},"['12.34', '11.46', '7.57']"
683,4714,3bb655f9-c3e3-4345-955c-0b6815158629,2007-10-11,2018-10-26,1978.0,2018-10-26,1,1,[],,,,0,1,[0],[0],3,190,1,Otradnoe,"[94, 238, 321]","[2, 41, 66]","['12.34', '10.57']"
684,3832,3bc09b37-b305-4fd7-a27e-425499af5b9c,2008-12-09,2020-07-28,1974.0,2020-08-24,0,1,"['A', 'B']",1.0,,,1,0,[0],[0],3,227,2,,"[117, 221]","[7, 27, 30, 65, 100, 149]","['12.34', '9.57', '6.58']"
685,5836,3bc23d57-3fac-4f5d-83e8-65969e084727,2015-05-16,2018-11-21,1987.0,2020-12-12,0,1,[],,15000.0,RUR,0,1,"[0, 1, 2]","[0, 1]",3,77,1,Chkalovskaja,"[160, 293, 436]",{},"['12.34', '9.57']"
686,4734,3bcf0834-09dc-42c9-9c27-96b92dc86c55,2015-08-20,2019-06-04,1987.0,2017-06-08,1,1,[],,140000.0,RUR,0,1,[0],[0],3,108,1,,[327],"[1, 2]","['12.34', '10.57']"
687,3701,3bcf657f-3872-46cb-bb7d-c5c41b2736d9,2015-04-28,2021-09-01,1988.0,2019-09-18,0,1,['B'],,70000.0,RUR,2,2,[0],[0],3,144,0,,"[81, 297, 568]",{},"['12.34', '6.57']"
688,4488,3bfbdd68-bb06-406d-a487-0edb365634a7,2003-08-14,2017-10-10,1971.0,2016-05-10,1,1,{},,35000.0,RUR,0,2,[0],[0],3,113,1,,[149],{},"['11.57', '6.58', '6.59']"
689,4093,3c20f092-59e9-4db8-b3a2-7b158f39f615,2010-10-13,2021-06-22,1986.0,2021-06-25,1,1,['B'],,35000.0,RUR,1,0,[0],[0],3,142,0,,"[43, 463, 469]",{},['12.34']
690,3657,3c31b7fa-d754-4f07-aa5d-830378220111,2010-07-04,2021-07-21,1976.0,2021-07-29,0,1,['B'],1.0,70000.0,RUR,0,1,[0],[0],3,211,1,Rechnoj vokzal,"[277, 295]","[1, 2, 2114]","['12.34', '6.57']"
691,5789,3c3a469f-4962-405f-ae3f-4d8256719327,2012-12-17,2018-04-22,1986.0,2018-04-11,1,1,[],,,,0,1,[0],[0],3,73,0,,"[342, 425, 468]",{},"['12.34', '11.57']"
692,5266,3c5bb31a-b296-4b3f-a169-3acc8d6d8486,2015-10-23,2019-09-22,1989.0,2019-02-09,0,1,[],,70000.0,RUR,0,0,[0],[0],2,73,0,Komendantskij prospekt,"[74, 136, 275]",{},"['12.34', '6.57']"
693,3796,3c6a10f0-cd4a-4f6c-9802-93633b2a27c5,2015-11-09,2017-01-30,1993.0,2017-02-10,0,1,{},,,,0,0,[1],[0],1,15,0,,[155],{},['12.34']
694,4298,3c7712b4-8381-4bef-97a9-f6209d24f1a1,2013-10-11,2020-02-12,1992.0,2020-02-13,1,1,['B'],0.0,,,1,2,"[2, 0]",[0],2,63,0,,"[118, 190, 451]",{},"['12.34', '9.57']"
